City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mata-utu,-13.2816,-176.1745,28.35,76,100,6.64,WF,1702256497
1,bodaybo,57.8506,114.1933,-30.12,98,100,0.21,RU,1702256498
2,bredasdorp,-34.5322,20.0403,15.14,82,0,1.24,ZA,1702256498
3,adamstown,-25.066,-130.1015,21.29,57,0,3.19,PN,1702256499
4,nar'yan-mar,67.6713,53.087,-22.72,91,100,4.92,RU,1702255914
5,mhamid,29.82,-5.72,15.79,36,11,2.02,MA,1702255919
6,ubari,26.5921,12.7805,10.93,72,0,3.18,LY,1702256471
7,keflavik,64.0049,-22.5624,1.24,100,100,4.12,IS,1702256500
8,lhasa,29.65,91.1,-4.31,53,0,0.72,CN,1702256500
9,tralee,52.2704,-9.7026,9.18,88,25,5.58,IE,1702256501
10,stanley,54.868,-1.6985,5.71,96,75,3.09,GB,1702256501
11,port-aux-francais,-49.35,70.2167,4.01,79,74,9.47,TF,1702256493
12,remire-montjoly,4.9167,-52.2667,26.02,89,20,0.0,GF,1702256502
13,codrington,-38.2667,141.9667,18.55,72,100,6.97,AU,1702256502
14,albany,42.6001,-73.9662,7.87,90,100,1.79,US,1702256470
15,mugia,43.1041,-9.2179,18.28,86,100,11.2,ES,1702256503
16,nao me toque,-28.4592,-52.8208,16.86,95,31,1.5,BR,1702256504
17,invercargill,-46.4,168.35,16.3,46,39,6.72,NZ,1702256482
18,midvagur,62.0511,-7.1939,7.46,87,100,3.6,FO,1702256505
19,waitangi,-43.9535,-176.5597,11.64,59,0,2.24,NZ,1702256500
20,edinburgh of the seven seas,-37.0676,-12.3116,13.68,70,97,7.42,SH,1702256506
21,port douglas,-16.4833,145.4667,29.7,57,26,3.67,AU,1702256506
22,pandan,14.0453,124.1694,28.37,79,68,4.69,PH,1702256506
23,sinop,41.7711,34.8709,6.02,82,100,3.22,TR,1702256507
24,grytviken,-54.2811,-36.5092,5.62,93,100,6.73,GS,1702256507
25,mount gambier,-37.8333,140.7667,15.4,93,100,5.78,AU,1702256507
26,thompson,55.7435,-97.8558,-15.91,92,100,2.06,CA,1702256305
27,college,64.8569,-147.8028,-23.64,78,100,1.78,US,1702256508
28,sucua,-2.4667,-78.1667,20.81,98,77,1.05,EC,1702256509
29,ryotsu-minato,38.0833,138.4333,7.76,65,79,5.34,JP,1702256509
30,kramators'k,48.723,37.5563,-0.14,90,100,5.32,UA,1702256509
31,arica,-18.475,-70.3042,21.75,73,40,2.06,CL,1702256093
32,blackmans bay,-43.0167,147.3167,22.51,49,8,0.89,AU,1702256509
33,katsuura,35.1333,140.3,13.01,79,100,2.22,JP,1702256510
34,avarua,-21.2078,-159.775,27.03,78,100,12.35,CK,1702256510
35,san antonio de pale,-1.4014,5.6325,27.37,79,100,5.85,GQ,1702256510
36,neiafu,-18.65,-173.9833,29.38,61,20,2.57,TO,1702256510
37,cambebba,-3.6209,-38.8291,28.2,73,27,4.85,BR,1702256510
38,papatowai,-46.5619,169.4708,17.46,43,83,6.23,NZ,1702256511
39,cajuru,-21.2753,-47.3042,18.34,97,100,2.14,BR,1702256511
